code,name
MOZ,Muzaffarnagar
MRJ,Miraj Junction
MSWA,UNKNOWN
MTC,Meerut City
MTD,Merta Road Junction
MTJ,Mathura Junction
MUE,Mudkhed
MULK,Mulki
MUR,Mankapur Junction
MVLK,Mavelikara
MYR,Maihar
MZR,Murtajapur
NAD,Nagda Junction
NBQ,New Bongaigaon
NCB,New Cooch Behar
ND,Nadiad Junction
NDB,Nandurbar
NDLS,New Delhi
NED,UNKNOWN
NFK,New Farakka Junction
NGP,Nagpur
NHGJ,New Harangajao
NHR,Nohar
NJP,New Jalpaiguri
NK,Nasik Road
NLR,Nellore
NMH,Nimach
NOQ,New Alipurdaur
NPS,Napasar
NRWI,Narwasi
NU,Narsinghpur
NUH,Naugarh
NZB,Nizamabad
NZM,H Nizamuddin
OGL,Ongole
PAU,Purna Junction
PBC,UNKNOWN
PGT,Palakkad
PIH,Parhihara
PJP,UNKNOWN
PKA,Pradhankhunta
PKR,Pakur
PKY,UNKNOWN
PLJE,Phulwartanr
PLNI,Palani
PLO,Pulgaon Junction
PNBE,Patna Junction
PND,Pendra Road
PNP,Panipat Junction
PNVL,Panvel
POU,Padrauna
POY,UNKNOWN
PPI,Pipariya
PRUR,UNKNOWN
PSA,Palasa
PTA,Patiala
PTK,Pathankot
PTKC,Pathankot Cantt
PUNE,Pune Junction
PURI,Puri
PW,Pirwa
QLN,Kollam Junction
R,Raipur Junction
RAA,Barara
RAJP,Rajapur Road
RDT,Ravtha Road
RE,Rewari
REN,Ren
REWA,Rewa
RIG,Raigarh
RJPB,Rjndr Ngr Bihar
RJR,Rajaldesar
RJT,Rajkot Junction
RJY,Rajamundry
RK,Roorkee
RKL,Ramkola
RMA,Ramganj Mandi
RN,Ratnagiri
RNY,Rangiya Junction
ROHA,Roha
ROK,Rohtak Junction
ROU,Rourkela
RPH,Rampur Hat
RPJ,Rajpura Junction
RPO,UNKNOWN
RSNR,Rai Singh Nagar
RTGH,Ratangarh Junction
RTM,Ratlam Junction
SA,Salem Junction
SBDP,UNKNOWN
SBM,Sonbarsa Kcheri
SBV,S Bhakhtiyarpur
SC,Secunderabad Junction
SCL,Silchar
SDF,Sudsar
SDGH,Sri Dungargarh
SDL,Shahdol
SDLP,Sadulpur Junction
SDMK,Sidmukh
SDS,Sadulshahr
SEG,Shegaon
SGNR,Shri Ganganagar
SGO,Saugor
SGR,Sangmeshwar
SHC,Saharsa Junction
SHG,Shahganj Junction
SHR,Sihora Road
SJNP,Sujanpur
SMBX,Samba
SMNN,UNKNOWN
SMQL,Shamli
SNDD,Sindhudurg
SNP,Sonipat
SOG,Suratgarh Junction
SOT,UNKNOWN
SRC,Santragachi Junction
SRE,Saharanpur
SRKN,Sherekan
SRPR,Sarupsar Jn
SRW,Shri Karanpur
SRZ,UNKNOWN
SSA,Sirsa
SSW,UNKNOWN
ST,Surat
STA,Satna
STN,Sitarampur
STR,Satara
SUJH,Sujangarh
SUNR,Surendranagar
SV,Siwan Junction
SVDK,Shmata V D Ktra
SVO,Sanvrad
SWA,Sahjanwa
SWM,Sawai Madhopur
SWNI,Siwani
SWV,Sawantwadi Road
SZE,UNKNOWN
TATA,Tatanagar Junction
TCR,Thrisur
TDW,UNKNOWN
THE,Thawe Jn
THVM,Thivim
TIBI,Tibi
TLC,Talchhapar
TLI,Tulwara Jhil
TNA,Thane
TNO,UNKNOWN
TNW,UNKNOWN
TOI,Tamkuhi Road
TPZ,Tapri
TRVL,Tiruvalla
TSD,Tahsil Bhadra
TUP,Tiruppur
TVC,Trivandrum Cntl
UD,Udupi
UDT,UNKNOWN
UDZ,Udaipur City
UHP,Udhampur
UJN,Ujjain Junction
ULT,Kulti
UMB,Ambala Cant Junction
UMNR,UNKNOWN
UMR,Umaria
URK,Urkura
VAPI,Vapi
VBW,Vaibhavwadi Road
VG,Viramgam Junction
VJPJ,Vijiypur Jammu
VSKP,Vishakapatnam
VZM,Vizianagram Junction
WHM,Washim
WKR,Wankaner Junction
WR,Wardha Junction
YJUD,Yamunanagar Jud
ZPR,UNKNOWN
